archname,devname,freq_MHz,pipe,precision,wlgroup,wlname,wlinstance,batch,opnum,opname,is_input_node,is_output_node,optype,op_rpt_count,attrs,inList,outList,input_tensors,output_tensors,weight_tensors,tensor_attributes,domain,opclass,removed,fused,fused_with_op,inElems,outElems,inBytes,outBytes,instrs,inParamCount,inActCount,outActCount,instr_count,compute_cycles,mem_rd_cycles,mem_wr_cycles,ramp_penalty,rsrc_bnck,ideal_cycles,ideal_msecs,cycles,matrix_cycles,vector_cycles,msecs,matrix_pipe_util,vector_pipe_util,mem_rd_util,mem_wr_util,memory_traffic,mem_util,uses_perf_lookup,lut_key,lut_key_resolved,lut_hit_source
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,109,ttsim.ttnn.Op_110,False,False,Add,1,{},"['ttsim.ttnn.Op_109.out', 'ttsim.ttnn.Op_99.out']",['ttsim.ttnn.Op_110.out'],ttsim.ttnn.Op_109.out[10x197x768]:bfloat8_b;ttsim.ttnn.Op_99.out[10x197x768]:bfloat8_b,ttsim.ttnn.Op_110.out[10x197x768]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,True,ttsim.ttnn.Op_109,3025920,1512960,6051840,3025920,{'add': 1512960},0,3025920,1512960,1512960,657,22796,11398,100.0,NA,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,110,ttsim.ttnn.Op_111,True,False,LayerNormalization,1,{'math_fidelity': 'HiFi2'},"['ttsim.ttnn.Op_110.out', 'ttsim.ttnn.Tensor_84', 'ttsim.ttnn.Tensor_85']",['ttsim.ttnn.Op_111.out'],ttsim.ttnn.Op_110.out[10x197x768]:bfloat8_b;ttsim.ttnn.Tensor_84[1x768]:bfloat16;ttsim.ttnn.Tensor_85[1x768]:bfloat16,ttsim.ttnn.Op_111.out[10x197x768]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat16""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat16""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,1514496,1512960,3028992,3025920,"{'add': 3027890, 'sub': 1512960, 'mul': 3025920, 'div': 3940, 'mac': 1512960, 'rsqrt': 1970}",0,1514496,1512960,9085640,3946,11410,11398,100.0,MEM,22908.0,0.016968888888888888,28635.0,0,3946,0.02121111111111111,0.0,0.10335254059717129,0.3984634188929632,0.3980443513183167,0.0,0.0,False,,,
Blackhole,p100a,1350.0,MATRIX,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,111,ttsim.ttnn.Op_112,True,False,MatMul,1,{'fused_activation': 'gelu'},"['ttsim.ttnn.Op_111.out', 'ttsim.ttnn.Tensor_86', 'ttsim.ttnn.Tensor_87']",['ttsim.ttnn.Op_112.out'],ttsim.ttnn.Op_111.out[10x197x768]:bfloat8_b;ttsim.ttnn.Tensor_86[768x3072]:bfloat8_b;ttsim.ttnn.Tensor_87[1x3072]:bfloat8_b,ttsim.ttnn.Op_112.out[10x197x3072]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,2362368,6051840,4724736,12103680,"{'mac': 4647813120, 'add': 18155520, 'mul': 36311040, 'tanh': 6051840}",0,3875328,6051840,4708331520,130185,17797,45592,100.0,COMP,269020.0,0.19927407407407408,336275.0,268920,0,0.2490925925925926,0.5997769682551483,0.0,0.05292394617500558,0.03389487770425991,0.0,0.0,False,,,
Blackhole,p100a,1350.0,MATRIX,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,112,ttsim.ttnn.Op_113,True,False,MatMul,1,{},"['ttsim.ttnn.Op_112.out', 'ttsim.ttnn.Tensor_88', 'ttsim.ttnn.Tensor_89']",['ttsim.ttnn.Op_113.out'],ttsim.ttnn.Op_112.out[10x197x3072]:bfloat8_b;ttsim.ttnn.Tensor_88[3072x768]:bfloat8_b;ttsim.ttnn.Tensor_89[1x768]:bfloat8_b,ttsim.ttnn.Op_113.out[10x197x768]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,True,ttsim.ttnn.Op_112,2360064,1512960,4720128,3025920,"{'mac': 4647813120, 'add': 1512960}",0,8411904,1512960,4649326080,126122,17780,11398,100.0,NA,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,113,ttsim.ttnn.Op_114,False,False,Add,1,{},"['ttsim.ttnn.Op_113.out', 'ttsim.ttnn.Op_110.out']",['ttsim.ttnn.Op_114.out'],ttsim.ttnn.Op_113.out[10x197x768]:bfloat8_b;ttsim.ttnn.Op_110.out[10x197x768]:bfloat8_b,ttsim.ttnn.Op_114.out[10x197x768]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,3025920,1512960,6051840,3025920,{'add': 1512960},0,3025920,1512960,1512960,657,22796,11398,100.0,MEM,34294.0,0.025402962962962964,42868.0,0,657,0.03175407407407407,0.0,0.0114947221088237,0.531778153612877,0.2658890768064385,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,114,ttsim.ttnn.Op_115,True,False,LayerNormalization,1,{'math_fidelity': 'HiFi2'},"['ttsim.ttnn.Op_114.out', 'ttsim.ttnn.Tensor_94', 'ttsim.ttnn.Tensor_95']",['ttsim.ttnn.Op_115.out'],ttsim.ttnn.Op_114.out[10x197x768]:bfloat8_b;ttsim.ttnn.Tensor_94[1x768]:bfloat16;ttsim.ttnn.Tensor_95[1x768]:bfloat16,ttsim.ttnn.Op_115.out[10x197x768]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat16""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat16""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,1514496,1512960,3028992,3025920,"{'add': 3027890, 'sub': 1512960, 'mul': 3025920, 'div': 3940, 'mac': 1512960, 'rsqrt': 1970}",0,1514496,1512960,9085640,3946,11410,11398,100.0,MEM,22908.0,0.016968888888888888,28635.0,0,3946,0.02121111111111111,0.0,0.10335254059717129,0.3984634188929632,0.3980443513183167,0.0,0.0,False,,,
Blackhole,p100a,1350.0,MATRIX,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,115,ttsim.ttnn.Op_116,True,False,MatMul,1,{},"['ttsim.ttnn.Op_115.out', 'ttsim.ttnn.Tensor_90', 'ttsim.ttnn.Tensor_91']",['ttsim.ttnn.Op_116.out'],ttsim.ttnn.Op_115.out[10x197x768]:bfloat8_b;ttsim.ttnn.Tensor_90[768x2304]:bfloat8_b;ttsim.ttnn.Tensor_91[1x2304]:bfloat8_b,ttsim.ttnn.Op_116.out[10x197x2304]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": null, ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,1771776,4538880,3543552,9077760,"{'mac': 3485859840, 'add': 4538880}",0,3284736,4538880,3490398720,94684,13348,34194,100.0,COMP,94784.0,0.07021037037037037,118480.0,94684,0,0.08776296296296296,0.5993669817690749,0.0,0.11266036461850103,0.2886056718433491,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,116,ttsim.ttnn.Op_117,False,False,Reshard,1,"{'element_size': 1, 'memory_config': {'memory_layout': <TensorMemoryLayout.BLOCK_SHARDED: 4>, 'buffer_type': <BufferType.L1: 2>, 'shard_spec': None, 'nd_shard_spec': None}}",['ttsim.ttnn.Op_116.out'],['ttsim.ttnn.Op_117.out'],ttsim.ttnn.Op_116.out[10x197x2304]:bfloat8_b,ttsim.ttnn.Op_117.out[10x197x2304]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,4538880,4538880,4538880,4538880,{'mov': 4538880},0,4538880,4538880,4538880,1970,17097,17097,100.0,MEM,34294.0,0.025402962962962964,42868.0,0,1970,0.03175407407407407,0.0,0.03446667055461596,0.39883361520965765,0.39883361520965765,0.0,0.0,False,,,
Blackhole,p100a,1350.0,VECTOR,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,117,ttsim.ttnn.Op_118,False,False,CreateQKVHeads,1,"{'num_heads': 12, 'num_kv_heads': 12, 'head_dim': 64, 'transpose_k_heads': True, 'element_size': 1}",['ttsim.ttnn.Op_117.out'],"['ttsim.ttnn.Op_118.out.0', 'ttsim.ttnn.Op_118.out.1', 'ttsim.ttnn.Op_118.out.2']",ttsim.ttnn.Op_117.out[10x197x2304]:bfloat8_b,ttsim.ttnn.Op_118.out.0[10x12x197x64]:bfloat8_b;ttsim.ttnn.Op_118.out.1[10x12x64x197]:bfloat8_b;ttsim.ttnn.Op_118.out.2[10x12x197x64]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_BLOCK_SHARDED"", ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_HEIGHT_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_HEIGHT_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_HEIGHT_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,4538880,4538880,4538880,4538880,{'mov': 4538880},0,4538880,4538880,4538880,1970,17097,17097,100.0,MEM,34294.0,0.025402962962962964,42868.0,0,1970,0.03175407407407407,0.0,0.03446667055461596,0.39883361520965765,0.39883361520965765,0.0,0.0,False,,,
Blackhole,p100a,1350.0,MATRIX,BF16,TTNN,vitoptim_bh,vitoptim_bh_b16,1,118,ttsim.ttnn.Op_119,False,False,MatMul,1,{},"['ttsim.ttnn.Op_118.out.0', 'ttsim.ttnn.Op_118.out.1']",['ttsim.ttnn.Op_119.out'],ttsim.ttnn.Op_118.out.0[10x12x197x64]:bfloat8_b;ttsim.ttnn.Op_118.out.1[10x12x64x197]:bfloat8_b,ttsim.ttnn.Op_119.out[10x12x197x197]:bfloat8_b,,"{""inputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_HEIGHT_SHARDED"", ""dtype"": ""bfloat8_b""}, {""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_HEIGHT_SHARDED"", ""dtype"": ""bfloat8_b""}], ""outputs"": [{""layout"": ""TILE_LAYOUT"", ""memory"": ""L1_HEIGHT_SHARDED"", ""dtype"": ""bfloat8_b""}]}",,None,False,False,NA,0,4657080,0,9314160,{'mac': 298053120},0,3025920,4657080,298053120,8086,0,35085,100.0,MEM,35185.0,0.026062962962962965,43982.0,8086,13346,0.03257925925925926,0.13788830467528776,0.22758561887167827,0.0,0.7977263038226517,0.0,0.0,False,,,
